,price
1,-0.057158414
2,0
3,0.316669609
4,-0.170957798
5,0.709954299
6,0.438254931
7,0.303682414
8,-1.280933845
9,-0.188052232
10,0
11,0.098440073
12,-0.031748698
13,-0.235314087
14,-0.280902385
15,0.414433778
16,0.331357136
17,-0.137201122
18,0.567984038
19,0.470003629
20,-0.557015006
21,-0.396415273
22,0.102654154
23,0
24,0.218253566
25,-0.547435369
26,-0.248896047
27,0
28,0.196710294
29,0.251314428
30,0.459532329
31,0.467808239
32,-0.306166887
33,-0.621173681
34,-0.344840486
35,-0.040005335
36,0.267062785
37,-0.098440073
38,-0.109199292
39,-0.05942342
40,0.384845821
41,0.287682072
42,0.782759339
43,0.2135741
44,-0.662841831
45,-0.708185058
46,-0.200670695
47,-0.117783036
48,0.239672853
49,-0.067822596
50,-0.111225635
51,0.019418086
52,0.311436158
53,0.168136922
54,0.339867826
55,0.972318563
56,-0.607204751
57,-0.831733344
58,-0.209720531
59,0.24946086
60,0.156004248
61,-0.117783036
62,-0.411734721
63,0.292387963
64,-0.119545151
65,0.160930367
66,0.819898886
67,0.510825624
68,-1.180442307
69,-0.647684806
70,0.470003629
71,0.15415068
72,-0.168136922
73,-0.292387963
74,-0.058268908
75,0.277631737
76,-0.257829109
77,0.498991166
78,0.356674944
79,0.832909123
80,-0.282862786
81,-0.783661188
82,-0.197168065
83,0.025317808
84,-0.025317808
85,-0.197825743
86,-0.445311017
87,0.237671652
88,0.268263987
89,0.187211542
90,0.54910781
91,0.533110669
92,-0.752739278
93,-0.675755438
94,-0.017391743
95,0.017391743
96,0.482851772
97,-0.465757338
98,0.03333642
99,0.295845383
100,-0.247836164
101,0.247836164
102,0.54910781
103,0.381711022
104,-0.674098986
105,-0.359374001
106,0.239229689
107,0.276986783
108,0.149531734
109,-0.287682072
110,0.105360516
111,-0.051293294
112,0.067822596
113,0.063513406
114,0.47957308
115,0.659245629
116,-0.594707108
117,-0.624154309
118,-0.333144447
119,0.045462374
120,0.253780521
121,-0.231801614
122,-0.427444015
123,0.336472237
124,0.538996501
125,-0.182321557
126,0.480366416
127,0.590074995
128,-0.808077147
129,-0.773189888
130,-0.057158414
131,0.269128665
132,0.40920343
133,-0.015037877
134,-0.238411023
135,-0.2135741
136,0.090971778
137,0.16034265
138,0.764606145
139,0.626307162
140,-0.794929875
141,-0.63372376
142,0.175890666
143,0.176930708
144,-0.041385216
145,-0.599118231
146,-0.229574442
147,0.660357358
148,-0.538996501
149,0.587786665
150,0.70105236
151,0.704888998
152,-1.060439715
153,-0.727436254
154,-0.09763847
155,0
156,-0.080042708
157,-0.057158414
158,-0.125163143
159,0.44895022
160,-0.29479954
161,0.133531393
162,0.821980052
163,0.074107972
164,-0.614675565
165,-0.209091798
166,0.045462374
167,0.163629424
168,0.140581951
169,-0.050430854
170,-0.231801614
171,0.419853846
172,-0.377294231
173,0.459532329
174,0.243977638
175,0.468714138
176,-0.965887673
177,-0.439951284
178,0.53680111
179,-0.262364264
180,0.378436436
181,-0.301475395
182,-0.076961041
183,0.058268908
184,0.037041272
185,0.226773319
186,0.371063681
187,1.098612289
188,-1.32175584
189,-0.051293294
190,-0.323400155
191,0
192,-0.018349139
193,-0.391671786
194,0.140357358
195,0.194156014
196,-0.019802627
197,-0.020202707
198,1.232143681
199,0.149035579
200,-1.068306939
201,-0.045809536
202,-0.352220594
203,0.287682072
204,-0.016807118
205,0.065597282
206,-0.292987125
207,0.227389842
208,0.016807118
209,0.048790164
210,1.00435975
211,0.589077821
212,-0.823917412
213,-0.923670839
214,-0.204794413
215,0.107630664
216,-0.130620182
217,-0.072320662
218,0.048790164
219,-0.048790164
220,0.336472237
221,0.133531393
222,0.693147181
223,0.277868451
224,-0.181138825
225,-0.905708623
226,-0.214409871
227,0.196710294
228,-0.287682072
229,0.149035579
230,0.005115101
231,0.115512887
232,0.053109825
233,0.569419788
234,0.193639382
235,0.290892348
236,0.031936481
237,-1.01597601
238,-0.422653791
239,0.376593018
240,0.190982038
241,-0.312560145
242,-0.096527651
243,0.38087718
244,0.061045302
245,0.183890536
246,0.878171316
247,0.096198148
248,-1.154230444
249,0.395586267
250,-0.5886896
251,0.091607843
